ID,Mockup ID,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Created on,Mockup version,Quantity,Manufacturing shipment ID,Finishing item ID,Manufacturing ID,Vendor ID,Finisher ID,Production deadline,Product info ID,Paired SKU,Kit number,Bundle ID
36741,134201,2023-01-03T14:14:42.871Z,2023-01-03T14:14:43.241Z,,,,2023-01-03,1,188,14887,,33908,1,3,2023-01-06,2,,2,
36742,,2023-01-03T14:14:42.884Z,2023-01-03T14:14:43.294Z,70797,,,2023-01-03,,188,14887,,33888,6,3,2023-01-04,35,,2,
36743,134083,2023-01-03T14:35:08.413Z,2023-01-03T14:35:08.663Z,,,,2023-01-03,1,150,14897,,33909,3,2,2023-01-04,2,,1,27910
36744,,2023-01-03T14:35:08.418Z,2023-01-03T14:35:08.734Z,70754,,,2023-01-03,,150,14897,,33910,11,2,2023-01-04,35,,1,27910
36745,88242,2023-01-03T15:12:52.271Z,2023-01-03T15:12:52.602Z,,,,2023-01-03,1,120,14898,,33911,3,2,2023-01-04,3,,1,27930
36746,,2023-01-03T15:12:52.276Z,2023-01-03T15:12:52.685Z,30786,,,2023-01-03,,120,14898,,33912,11,2,2023-01-04,35,,1,27930
36748,,2023-01-03T15:26:25.427Z,2023-01-03T15:26:25.427Z,,,,2023-01-03,,120,14899,4,,,,,,,1,27865
36747,133915,2023-01-03T15:26:25.422Z,2023-01-03T15:26:25.783Z,,,,2023-01-03,2,120,14899,,33913,3,2,2023-01-04,2,,1,27865
36750,,2023-01-03T15:45:02.723Z,2023-01-03T15:45:02.723Z,,,,2023-01-03,,200,14900,4,,,,,,,1,27936
36749,133673,2023-01-03T15:45:02.717Z,2023-01-03T15:45:03.190Z,,,,2023-01-03,2,200,14900,,33914,3,2,2023-01-04,2,,1,27936
36789,100077,2023-01-03T20:34:00.597Z,2023-01-03T20:34:00.845Z,,,,2023-01-03,5,60,14916,,33951,3,2,2023-01-06,2,,1,27961
36773,131300,2023-01-03T18:59:35.424Z,2023-01-03T18:59:35.718Z,,,,2023-01-03,1,200,14909,,33937,3,2,2023-01-05,2,,1,27948
36751,134102,2023-01-03T15:47:29.565Z,2023-01-03T15:47:29.922Z,,,,2023-01-03,2,300,14901,,33915,3,2,2023-01-04,2,,1,27932
36752,,2023-01-03T15:47:29.569Z,2023-01-03T15:47:29.986Z,70764,,,2023-01-03,,300,14901,,33916,11,2,2023-01-04,35,,1,27932
36774,,2023-01-03T18:59:35.428Z,2023-01-03T18:59:35.817Z,69544,,,2023-01-03,,200,14909,,33938,11,2,2023-01-04,35,,1,27948
36776,,2023-01-03T19:03:45.160Z,2023-01-03T19:03:45.160Z,,,,2023-01-03,,300,14910,4,,,,,,,1,27940
36791,107609,2023-01-03T20:34:00.605Z,2023-01-03T20:34:00.898Z,,,,2023-01-03,1,60,14916,,33952,3,2,2023-01-06,2,,2,27962
36753,133806,2023-01-03T15:57:54.452Z,2023-01-03T15:57:54.760Z,,,,2023-01-03,3,180,14902,,33917,1,3,2023-01-05,2,,1,27934
36754,,2023-01-03T15:57:54.456Z,2023-01-03T15:57:54.822Z,70686,,,2023-01-03,,180,14902,,33918,11,3,2023-01-04,35,,1,27934
36775,133859,2023-01-03T19:03:45.155Z,2023-01-03T19:03:45.545Z,,,,2023-01-03,2,300,14910,,33939,3,2,2023-01-05,2,,1,27940
36763,133686,2023-01-03T17:47:39.752Z,2023-01-03T17:47:40.042Z,,,,2023-01-03,1,60,14906,,33930,4,7,2023-01-09,2,,1,27760
36764,,2023-01-03T17:47:39.755Z,2023-01-03T17:47:40.105Z,22747,,,2023-01-03,,60,14906,,33931,11,7,2023-01-05,35,,1,27760
36765,133684,2023-01-03T17:47:39.759Z,2023-01-03T17:47:40.166Z,,,,2023-01-03,1,60,14906,,33932,4,7,2023-01-09,2,,2,27761
36755,133240,2023-01-03T15:58:52.382Z,2023-01-03T15:58:52.684Z,,,,2023-01-03,4,240,14903,,33919,4,7,2023-01-05,2,,1,27937
36766,,2023-01-03T17:47:39.762Z,2023-01-03T17:47:40.214Z,22747,,,2023-01-03,,60,14906,,33931,11,7,2023-01-05,35,,2,27761
36758,,2023-01-03T16:12:13.194Z,2023-01-03T16:12:13.194Z,,,,2023-01-03,,360,14904,4,,,,,,,1,27931
36767,133675,2023-01-03T17:47:39.765Z,2023-01-03T17:47:40.323Z,,,,2023-01-03,1,60,14906,,33933,4,7,2023-01-09,2,,3,27762
36814,,2023-01-03T23:34:47.560Z,2023-01-05T23:49:51.902Z,,,,2023-01-03,,90,14926,4,,,,,,,1,27978
36813,133380,2023-01-03T23:34:47.556Z,2023-01-05T23:49:51.738Z,,,,2023-01-03,3,90,14926,,33969,4,7,2023-01-09,2,,1,27978
36810,,2023-01-03T23:00:36.616Z,2023-01-04T19:50:15.467Z,,,,2023-01-03,,80,14924,4,,,,,,,1,27983
36757,134121,2023-01-03T16:12:13.188Z,2023-01-03T16:12:13.460Z,,,,2023-01-03,2,360,14904,,33921,1,3,2023-01-05,2,,1,27931
36759,131317,2023-01-03T16:53:12.423Z,2023-01-03T16:53:12.727Z,,,,2023-01-03,2,100,14308,,33924,3,2,2023-01-05,7,,1,
36760,131317,2023-01-03T16:53:12.525Z,2023-01-03T16:53:12.884Z,,,,2023-01-03,2,150,14309,,33924,3,2,2023-01-05,7,,1,
36756,,2023-01-03T15:58:52.386Z,2023-01-03T16:53:42.508Z,70821,,,2023-01-03,,240,14903,,33925,11,7,2023-01-04,35,,1,27937
36768,,2023-01-03T17:47:39.768Z,2023-01-03T17:47:40.399Z,22747,,,2023-01-03,,60,14906,,33931,11,7,2023-01-05,35,,3,27762
36761,78346,2023-01-03T17:18:51.574Z,2023-01-03T17:18:51.910Z,,,,2023-01-03,1,120,14905,,33926,4,7,2023-01-06,2,,1,27944
36762,,2023-01-03T17:18:51.578Z,2023-01-03T17:18:51.998Z,44036,,,2023-01-03,,120,14905,,33927,11,7,2023-01-04,35,,1,27944
36787,108853,2023-01-03T20:26:06.329Z,2023-01-03T20:26:06.576Z,,,,2023-01-03,1,151,14915,,33949,3,2,2023-01-05,2,,1,21616
36788,,2023-01-03T20:26:06.332Z,2023-01-03T20:26:06.630Z,58520,,,2023-01-03,,151,14915,,33950,11,2,2023-01-04,35,,1,21616
36777,133873,2023-01-03T19:24:21.039Z,2023-01-03T19:24:21.319Z,,,,2023-01-03,1,500,14911,,33940,3,2,2023-01-06,2,,1,27950
36817,132893,2023-01-03T23:55:37.983Z,2023-01-03T23:55:38.583Z,,,,2023-01-03,3,120,14927,,33971,1,3,2023-01-10,2,,2,27955
36815,132961,2023-01-03T23:55:37.977Z,2023-01-03T23:55:38.517Z,,,,2023-01-03,1,400,14927,,33970,1,3,2023-01-10,114,,1,27953
36818,,2023-01-03T23:55:37.986Z,2023-01-03T23:55:37.986Z,,,,2023-01-03,,120,14927,4,,,,,,,2,27955
36816,,2023-01-03T23:55:37.981Z,2023-01-03T23:55:37.981Z,,,,2023-01-03,,400,14927,4,,,,,,,1,27953
36809,134471,2023-01-03T23:00:36.612Z,2023-01-04T19:50:15.284Z,,,,2023-01-03,1,80,14924,,33966,4,7,2023-01-09,2,,1,27983
36812,,2023-01-03T23:13:47.875Z,2023-01-03T23:23:13.944Z,58212,,,2023-01-03,,2560,14925,,33968,6,2,2023-01-06,35,,1,27982
36811,107583,2023-01-03T23:13:47.871Z,2023-01-03T23:23:13.873Z,,,,2023-01-03,2,2560,14925,,33967,3,2,2023-01-17,2,,1,27982
36784,,2023-01-03T20:07:39.112Z,2023-01-03T20:07:39.792Z,68963,,,2023-01-03,,60,14913,,33946,11,7,2023-01-04,35,,2,26647
36778,,2023-01-03T19:24:21.042Z,2023-01-03T19:24:21.384Z,70875,,,2023-01-03,,500,14911,,33941,6,2,2023-01-04,35,,1,27950
36808,,2023-01-03T22:50:12.980Z,2023-01-03T22:50:13.308Z,39446,,,2023-01-03,,400,14923,,33965,6,2,2023-01-04,35,,1,27957
36807,69873,2023-01-03T22:50:12.975Z,2023-01-03T22:50:13.242Z,,,,2023-01-03,3,400,14923,,33964,3,2,2023-01-06,2,,1,27957
36769,130725,2023-01-03T18:12:05.536Z,2023-01-03T18:18:41.934Z,,,,2023-01-03,1,400,14907,,33934,3,2,2023-01-13,2,,1,27947
36806,,2023-01-03T22:49:47.840Z,2023-01-03T22:49:48.367Z,39521,,,2023-01-03,,200,14922,,33962,11,2,2023-01-04,35,,2,27960
36805,70060,2023-01-03T22:49:47.836Z,2023-01-03T22:49:48.319Z,,,,2023-01-03,1,200,14922,,33963,3,2,2023-01-06,2,,2,27960
36804,,2023-01-03T22:49:47.832Z,2023-01-03T22:49:48.261Z,39521,,,2023-01-03,,200,14922,,33962,11,2,2023-01-04,35,,1,27959
36803,70058,2023-01-03T22:49:47.827Z,2023-01-03T22:49:48.194Z,,,,2023-01-03,1,200,14922,,33961,3,2,2023-01-06,2,,1,27959
36820,,2023-01-03T23:57:04.831Z,2023-01-03T23:57:05.245Z,70734,,,2023-01-03,,150,14928,,33973,11,3,2023-01-04,35,,1,27968
36819,134041,2023-01-03T23:57:04.827Z,2023-01-03T23:57:05.179Z,,,,2023-01-03,3,150,14928,,33972,1,3,2023-01-05,2,,1,27968
36802,,2023-01-03T22:39:08.995Z,2023-01-03T22:39:09.614Z,69619,,,2023-01-03,,1,14921,,33960,11,3,2022-12-21,35,,1,
36801,130785,2023-01-03T22:39:08.988Z,2023-01-03T22:39:09.376Z,,,,2023-01-03,1,1,14921,,33452,1,3,2022-12-23,2,,1,
36800,,2023-01-03T22:35:02.582Z,2023-01-03T22:35:02.946Z,6425,,,2023-01-03,,105,14920,,33959,11,7,2023-01-05,35,,1,27878
36799,134037,2023-01-03T22:35:02.578Z,2023-01-03T22:35:02.867Z,,,,2023-01-03,1,105,14920,,33958,4,7,2023-01-09,2,,1,27878
36798,,2023-01-03T22:17:53.084Z,2023-01-03T22:17:53.568Z,67552,,,2023-01-03,,144,14919,,33957,11,7,2023-01-04,35,,1,27956
36797,127205,2023-01-03T22:17:53.079Z,2023-01-03T22:17:53.469Z,,,,2023-01-03,4,144,14919,,33956,4,7,2023-01-06,9,,1,27956
36794,,2023-01-03T20:37:18.476Z,2023-01-03T20:37:18.908Z,45862,,,2023-01-03,,100,14917,,33954,11,7,2023-01-05,35,,1,27958
36793,82074,2023-01-03T20:37:18.472Z,2023-01-03T20:37:18.837Z,,,,2023-01-03,1,100,14917,,33953,4,7,2023-01-09,2,,1,27958
36795,133258,2023-01-03T20:53:48.839Z,2023-01-03T20:53:49.102Z,,,,2023-01-03,1,500,14918,,33955,3,2,2023-01-06,2,,1,27966
36796,,2023-01-03T20:53:48.843Z,2023-01-03T20:53:48.843Z,,,,2023-01-03,,500,14918,4,,,,,,,1,27966
36792,,2023-01-03T20:34:00.608Z,2023-01-03T20:34:00.608Z,,,,2023-01-03,,60,14916,4,,,,,,,2,27962
36790,,2023-01-03T20:34:00.604Z,2023-01-03T20:34:00.604Z,,,,2023-01-03,,60,14916,4,,,,,,,1,27961
36785,29990,2023-01-03T20:21:48.408Z,2023-01-03T20:21:48.677Z,,,,2023-01-03,1,60,14914,,33948,4,7,2023-01-09,2,,1,27939
36786,,2023-01-03T20:21:48.412Z,2023-01-03T20:21:48.412Z,,,,2023-01-03,,60,14914,4,,,,,,,1,27939
36780,,2023-01-03T19:59:51.523Z,2023-01-03T19:59:51.857Z,70671,,,2023-01-03,,60,14912,,33944,11,7,2023-01-05,35,,1,27946
36770,,2023-01-03T18:12:05.540Z,2023-01-03T18:18:42.024Z,70799,,,2023-01-03,,400,14907,,33935,6,2,2023-01-06,35,,1,27947
36779,133923,2023-01-03T19:59:51.518Z,2023-01-03T19:59:51.777Z,,,,2023-01-03,1,60,14912,,33943,4,7,2023-01-09,2,,1,27946
36771,130725,2023-01-03T18:12:05.565Z,2023-01-03T18:18:42.102Z,,,,2023-01-03,1,1600,14908,,33936,3,2,2023-01-12,2,,1,27947
36947,,2023-01-04T23:36:54.238Z,2023-01-04T23:36:54.369Z,69276,,,2023-01-04,,500,14185,,34070,5,6,2023-01-05,44,,1,
36941,,2023-01-04T22:14:44.449Z,2023-01-04T22:14:44.449Z,,,,2023-01-04,,500,14973,4,,,,,,,1,28052
36940,100873,2023-01-04T22:14:44.445Z,2023-01-04T22:14:45.048Z,,,,2023-01-04,1,500,14973,,34065,4,7,2023-01-10,2,,1,28052
36943,90909,2023-01-04T23:08:50.472Z,2023-01-04T23:08:50.757Z,,,,2023-01-04,1,100,14974,,34067,4,7,2023-01-10,2,,1,28055
36944,,2023-01-04T23:08:50.476Z,2023-01-04T23:08:50.824Z,50550,,,2023-01-04,,100,14974,,34068,11,7,2023-01-06,35,,1,28055
36946,,2023-01-04T23:23:09.940Z,2023-01-04T23:23:09.940Z,,,,2023-01-04,,300,14975,2,,,,,,,1,28054
36945,,2023-01-04T23:23:09.935Z,2023-01-04T23:29:14.913Z,,28982,,2023-01-04,,300,14975,,34069,1,3,2023-01-12,118,,1,28054
36843,134444,2023-01-04T15:08:26.565Z,2023-01-04T15:08:26.888Z,,,,2023-01-04,2,176,14934,,33991,1,3,2023-01-09,2,,1,28001
36861,63832,2023-01-04T17:04:56.593Z,2023-01-04T17:30:57.824Z,,,,2023-01-04,2,60,14943,,34001,1,3,2023-01-10,2,,1,27976
36848,,2023-01-04T15:15:19.415Z,2023-01-04T17:30:30.014Z,70848,,,2023-01-04,,120,14936,,34000,11,3,2023-01-05,35,,1,28000
36922,118382,2023-01-04T20:35:40.332Z,2023-01-09T17:24:14.786Z,,,2041,2023-01-04,1,500,14965,,34249,3,2,2023-01-23,2,101118391v1,1,
36847,134333,2023-01-04T15:15:19.410Z,2023-01-04T17:30:29.937Z,,,,2023-01-04,1,120,14936,,33999,1,3,2023-01-09,114,,1,28000
36921,,2023-01-04T20:35:40.327Z,2023-01-09T17:24:15.554Z,62282,,,2023-01-04,,1000,14965,,34251,6,2,2023-01-09,35,,1,28019
36886,,2023-01-04T18:18:04.167Z,2023-01-04T18:18:04.481Z,11558,,,2023-01-04,,60,14953,,34018,11,2,2023-01-06,35,,1,28018
36842,,2023-01-04T14:40:24.686Z,2023-01-04T14:40:25.533Z,28538,,,2023-01-04,,150,14933,,33990,11,2,2023-01-05,35,,3,27913
36841,52551,2023-01-04T14:40:24.682Z,2023-01-04T14:40:25.467Z,,,,2023-01-04,1,150,14933,,33989,3,2,2023-01-09,2,,3,27913
36840,,2023-01-04T14:40:24.675Z,2023-01-04T14:40:25.387Z,69157,,,2023-01-04,,155,14933,,33987,11,2,2023-01-05,35,,2,27898
36839,133738,2023-01-04T14:40:24.671Z,2023-01-04T14:40:25.320Z,,,,2023-01-04,1,155,14933,,33988,3,2,2023-01-09,2,,2,27898
36838,,2023-01-04T14:40:24.667Z,2023-01-04T14:40:25.243Z,69157,,,2023-01-04,,150,14933,,33987,11,2,2023-01-05,35,,1,27945
36837,133739,2023-01-04T14:40:24.663Z,2023-01-04T14:40:25.161Z,,,,2023-01-04,3,150,14933,,33986,3,2,2023-01-09,2,,1,27945
36829,133055,2023-01-04T07:57:16.851Z,2023-01-04T13:32:03.161Z,,,,2023-01-04,1,200,14931,,33984,1,3,2023-01-27,2,,1,27938
36836,,2023-01-04T13:26:44.768Z,2023-01-04T13:31:54.760Z,70620,,,2023-01-04,,2,14932,,33981,11,3,2023-01-06,35,,3,27974
36835,133157,2023-01-04T13:26:44.760Z,2023-01-04T13:31:54.706Z,,,,2023-01-04,4,2,14932,,33983,1,3,2023-01-10,2,,3,27974
36834,,2023-01-04T13:26:44.757Z,2023-01-04T13:31:54.627Z,70620,,,2023-01-04,,2,14932,,33981,11,3,2023-01-06,35,,2,27973
36833,133157,2023-01-04T13:26:44.753Z,2023-01-04T13:31:54.569Z,,,,2023-01-04,5,2,14932,,33982,1,3,2023-01-10,2,,2,27973
36832,,2023-01-04T13:26:44.748Z,2023-01-04T13:31:54.472Z,70620,,,2023-01-04,,2,14932,,33981,11,3,2023-01-06,35,,1,27971
36831,133833,2023-01-04T13:26:44.744Z,2023-01-04T13:31:54.387Z,,,,2023-01-04,1,2,14932,,33980,1,3,2023-01-10,2,,1,27971
36826,,2023-01-04T01:41:37.542Z,2023-01-04T01:41:38.202Z,20056,,,2023-01-04,,60,14929,,33975,11,3,2023-01-06,35,,3,27993
36825,33992,2023-01-04T01:41:37.533Z,2023-01-04T01:41:38.153Z,,,,2023-01-04,1,60,14929,,33977,1,3,2023-01-10,2,,3,27993
36824,,2023-01-04T01:41:37.530Z,2023-01-04T01:41:38.064Z,20056,,,2023-01-04,,120,14929,,33975,11,3,2023-01-06,35,,2,27991
36823,84272,2023-01-04T01:41:37.526Z,2023-01-04T01:41:38.012Z,,,,2023-01-04,2,120,14929,,33976,1,3,2023-01-10,4,,2,27991
36822,,2023-01-04T01:41:37.521Z,2023-01-04T01:41:37.942Z,20056,,,2023-01-04,,60,14929,,33975,11,3,2023-01-06,35,,1,27992
36821,33995,2023-01-04T01:41:37.516Z,2023-01-04T01:41:37.871Z,,,,2023-01-04,1,60,14929,,33974,1,3,2023-01-10,2,,1,27992
36830,,2023-01-04T07:57:16.856Z,2023-01-04T13:32:03.232Z,70540,,,2023-01-04,,200,14931,,33985,11,3,2023-01-09,35,,1,27938
36827,121457,2023-01-04T01:42:35.137Z,2023-01-04T01:42:35.488Z,,,,2023-01-04,2,80,14930,,33978,1,3,2023-01-10,2,,1,27986
36828,,2023-01-04T01:42:35.142Z,2023-01-04T19:49:57.071Z,64696,,,2023-01-04,,80,14930,,34034,11,3,2023-01-06,35,,1,27986
36881,119032,2023-01-04T18:16:28.543Z,2023-01-04T18:16:29.085Z,,,,2023-01-04,1,120,14951,,34014,1,3,2023-01-09,9,,1,28021
36889,133671,2023-01-04T18:43:51.478Z,2023-01-04T18:43:51.956Z,,,,2023-01-04,2,120,14955,,34022,1,3,2023-01-10,114,,1,28022
36885,37418,2023-01-04T18:18:04.163Z,2023-01-04T18:18:04.404Z,,,,2023-01-04,1,60,14953,,34017,3,2,2023-01-10,2,,1,28018
36891,134567,2023-01-04T18:48:43.128Z,2023-01-04T18:50:33.013Z,,,,2023-01-04,1,125,14956,,34024,3,2,2023-01-09,114,,1,28029
36882,,2023-01-04T18:16:28.547Z,2023-01-04T18:16:28.547Z,,,,2023-01-04,,120,14951,4,,,,,,,1,28021
36868,,2023-01-04T17:37:50.013Z,2023-01-04T17:37:50.013Z,,,,2023-01-04,,365,14945,4,,,,,,,1,27985
36871,116963,2023-01-04T17:55:00.657Z,2023-01-05T22:20:51.024Z,,,,2023-01-04,1,60,14947,,34136,3,2,2023-01-09,2,,2,28015
36867,92069,2023-01-04T17:37:50.009Z,2023-01-09T20:13:45.080Z,,,,2023-01-04,1,365,14945,,34264,3,2,2023-01-09,2,,1,27985
36865,133672,2023-01-04T17:32:52.607Z,2023-01-04T17:32:53.426Z,,,,2023-01-04,2,125,14944,,34004,3,2,2023-01-11,2,,2,
36863,133674,2023-01-04T17:32:52.596Z,2023-01-04T17:32:53.353Z,,,,2023-01-04,2,125,14944,,34003,3,2,2023-01-11,2,,1,
36866,,2023-01-04T17:32:52.614Z,2023-01-04T17:32:52.623Z,,,,2023-01-04,,125,14944,4,,,,,,,2,
36864,,2023-01-04T17:32:52.603Z,2023-01-04T17:32:52.621Z,,,,2023-01-04,,125,14944,4,,,,,,,1,
36892,,2023-01-04T18:48:43.133Z,2023-01-09T15:51:30.125Z,31586,,,2023-01-04,,125,14956,,34246,11,2,2023-01-05,35,,1,28029
36880,,2023-01-04T18:10:02.211Z,2023-01-04T18:10:02.565Z,70800,,,2023-01-04,,800,14950,,34013,6,3,2023-01-09,35,,1,28020
36874,,2023-01-04T17:55:00.666Z,2023-01-04T17:55:00.666Z,,,,2023-01-04,,60,14947,4,,,,,,,1,28014
36858,,2023-01-04T16:30:27.357Z,2023-01-04T16:30:27.935Z,17561,,,2023-01-04,,450,14941,,33998,11,7,2023-01-05,35,,1,28004
36857,30456,2023-01-04T16:30:27.353Z,2023-01-04T16:30:27.791Z,,,,2023-01-04,2,450,14941,,33997,4,7,2023-01-09,2,,1,28004
36856,,2023-01-04T16:30:27.336Z,2023-01-04T16:30:27.722Z,17561,,,2023-01-04,,50,14940,,33998,11,7,2023-01-05,35,,1,28004
36855,30456,2023-01-04T16:30:27.332Z,2023-01-04T16:30:27.656Z,,,,2023-01-04,2,50,14940,,33997,4,7,2023-01-09,2,,1,28004
36872,,2023-01-04T17:55:00.660Z,2023-01-04T17:55:00.660Z,,,,2023-01-04,,60,14947,4,,,,,,,2,28015
36870,,2023-01-04T17:44:39.093Z,2023-01-04T17:44:39.449Z,64492,,,2023-01-04,,240,14946,,34007,11,3,2023-01-05,35,,1,27987
36869,127520,2023-01-04T17:44:39.088Z,2023-01-04T17:44:39.378Z,,,,2023-01-04,4,240,14946,,34006,1,3,2023-01-09,2,,1,27987
36879,134193,2023-01-04T18:10:02.207Z,2023-01-04T18:10:02.491Z,,,,2023-01-04,1,800,14950,,34012,1,3,2023-01-12,2,,1,28020
36896,,2023-01-04T19:18:43.425Z,2023-01-04T19:18:43.425Z,,,,2023-01-04,,200,14958,4,,,,,,,2,28017
36854,,2023-01-04T16:22:01.688Z,2023-01-04T16:22:02.287Z,58170,,,2023-01-04,,300,14939,,33996,11,3,2023-01-05,35,,1,27963
36853,108170,2023-01-04T16:22:01.684Z,2023-01-04T16:22:02.215Z,,,,2023-01-04,2,300,14939,,33995,1,3,2023-01-09,2,,1,27963
36852,,2023-01-04T16:21:04.748Z,2023-01-04T16:21:04.759Z,70848,,,2023-01-04,,120,14938,,,6,,2023-01-05,35,,1,
36877,134149,2023-01-04T18:07:20.427Z,2023-01-04T18:07:20.705Z,,,,2023-01-04,1,350,14949,,34010,1,3,2023-01-10,2,,1,27967
36878,,2023-01-04T18:07:20.432Z,2023-01-04T18:07:20.781Z,70786,,,2023-01-04,,350,14949,,34011,11,3,2023-01-06,35,,1,27967
36890,,2023-01-04T18:43:51.482Z,2023-01-04T18:43:52.023Z,70870,,,2023-01-04,,120,14955,,34023,11,3,2023-01-06,35,,1,28022
36883,133357,2023-01-04T18:17:37.997Z,2023-01-04T18:17:38.311Z,,,,2023-01-04,4,310,14952,,34015,1,3,2023-01-09,2,,1,28009
36884,,2023-01-04T18:17:38.002Z,2023-01-04T18:17:38.395Z,70445,,,2023-01-04,,310,14952,,34016,11,3,2023-01-05,35,,1,28009
36875,132882,2023-01-04T18:05:21.538Z,2023-01-04T18:24:38.948Z,,,,2023-01-04,1,2,14948,,34019,1,3,2023-01-10,2,,1,27988
36876,,2023-01-04T18:05:21.543Z,2023-01-04T18:24:39.009Z,70243,,,2023-01-04,,2,14948,,34020,11,3,2023-01-06,35,,1,27988
36887,,2023-01-04T18:19:05.454Z,2023-01-12T23:47:43.794Z,,28978,,2023-01-04,,60,14954,,34508,1,3,2023-01-16,73,,1,28023
36898,,2023-01-04T19:18:43.430Z,2023-01-04T19:18:43.430Z,,,,2023-01-04,,200,14958,4,,,,,,,1,28016
36893,133530,2023-01-04T19:00:08.403Z,2023-01-04T19:00:08.770Z,,,,2023-01-04,1,73,14957,,34026,4,7,2023-01-10,2,,1,28030
36894,,2023-01-04T19:00:08.408Z,2023-01-04T19:00:08.849Z,70525,,,2023-01-04,,73,14957,,34027,11,7,2023-01-06,35,,1,28030
36895,134118,2023-01-04T19:18:43.420Z,2023-01-04T19:18:43.875Z,,,,2023-01-04,1,200,14958,,34028,4,7,2023-01-10,2,,2,28017
36897,134367,2023-01-04T19:18:43.427Z,2023-01-04T19:18:43.946Z,,,,2023-01-04,2,200,14958,,34029,4,7,2023-01-10,2,,1,28016
36859,130181,2023-01-04T16:50:28.305Z,2023-01-04T19:56:47.529Z,,,,2023-01-04,1,800,14942,,34036,5,6,2023-03-02,25,,1,28008
36860,,2023-01-04T16:50:28.309Z,2023-01-04T19:56:47.632Z,58077,,,2023-01-04,,800,14942,,34037,5,6,2023-01-09,44,,1,28008
36873,116952,2023-01-04T17:55:00.662Z,2023-01-05T22:20:51.350Z,,,,2023-01-04,1,60,14947,,34137,3,2,2023-01-09,2,,1,28014
36899,132510,2023-01-04T19:43:20.548Z,2023-01-04T19:43:20.823Z,,,,2023-01-04,1,120,14959,,34030,1,3,2023-01-09,2,,1,28003
36900,,2023-01-04T19:43:20.552Z,2023-01-04T19:43:20.890Z,70078,,,2023-01-04,,120,14959,,34031,11,3,2023-01-05,35,,1,28003
36942,,2023-01-04T23:07:10.999Z,2023-01-04T23:07:11.060Z,70933,,,2023-01-04,,2,14968,,34066,6,3,2023-01-09,35,,1,
36901,134569,2023-01-04T19:44:33.342Z,2023-01-04T19:44:33.674Z,,,,2023-01-04,1,200,14960,,34032,1,3,2023-01-10,114,,1,28037
36902,,2023-01-04T19:44:33.347Z,2023-01-04T19:44:33.795Z,70913,,,2023-01-04,,200,14960,,34033,11,3,2023-01-06,35,,1,28037
36904,,2023-01-04T19:58:37.745Z,2023-01-04T19:58:37.745Z,,,,2023-01-04,,120,14961,4,,,,,,,2,28033
36906,,2023-01-04T19:58:37.750Z,2023-01-04T19:58:37.750Z,,,,2023-01-04,,120,14961,4,,,,,,,1,28032
36908,,2023-01-04T19:58:37.756Z,2023-01-04T19:58:37.756Z,,,,2023-01-04,,120,14961,4,,,,,,,3,28031
36910,,2023-01-04T19:58:37.761Z,2023-01-04T19:58:37.761Z,,,,2023-01-04,,120,14961,4,,,,,,,4,28034
36912,,2023-01-04T19:58:37.769Z,2023-01-04T19:58:37.769Z,,,,2023-01-04,,120,14961,4,,,,,,,5,28036
